user_id,track_id,play_count
User_162,Track_244,14
User_155,Track_249,5
User_100,Track_187,31
User_115,Track_366,33
User_99,Track_542,1
User_191,Track_365,2
User_128,Track_113,16
User_7,Track_348,9
User_157,Track_441,5
User_165,Track_364,2
User_22,Track_191,7
User_106,Track_220,24
User_39,Track_593,30
User_54,Track_355,13
User_61,Track_103,6
User_177,Track_663,38
User_23,Track_729,27
User_16,Track_661,26
User_185,Track_752,2
User_55,Track_152,28
User_45,Track_742,17
User_112,Track_132,24
User_173,Track_152,9
User_77,Track_259,21
User_113,Track_183,14
User_79,Track_636,9
User_157,Track_585,8
User_6,Track_7,21
User_142,Track_106,43
User_126,Track_740,8
User_97,Track_727,8
User_14,Track_752,2
User_131,Track_247,16
User_42,Track_316,15
User_34,Track_604,12
User_2,Track_739,5
User_185,Track_675,7
User_7,Track_109,15
User_18,Track_202,6
User_161,Track_113,13
User_181,Track_235,12
User_17,Track_734,50
User_85,Track_346,11
User_72,Track_307,25
User_4,Track_259,6
User_106,Track_218,6
User_40,Track_370,7
User_186,Track_539,20
User_59,Track_553,2
User_116,Track_414,8
User_86,Track_235,7
User_97,Track_94,16
User_9,Track_147,50
User_12,Track_30,2
User_106,Track_486,2
User_135,Track_42,12
User_126,Track_88,19
User_47,Track_656,9
User_114,Track_374,2
User_153,Track_714,13
User_129,Track_160,5
User_99,Track_246,13
User_13,Track_176,7
User_4,Track_151,42
User_151,Track_425,1
User_169,Track_679,16
User_189,Track_152,5
User_37,Track_84,5
User_129,Track_8,12
User_8,Track_346,9
User_3,Track_104,8
User_86,Track_661,40
User_126,Track_304,13
User_144,Track_686,8
User_165,Track_192,7
User_83,Track_625,10
User_51,Track_283,14
User_31,Track_156,10
User_122,Track_201,12
User_178,Track_53,18
User_91,Track_592,4
User_57,Track_195,15
User_184,Track_226,17
User_119,Track_584,20
User_87,Track_580,5
User_102,Track_712,2
User_22,Track_42,11
User_66,Track_283,25
User_120,Track_169,24
User_113,Track_426,15
User_21,Track_543,11
User_124,Track_740,10
User_139,Track_740,7
User_62,Track_469,21
User_82,Track_427,12
User_11,Track_192,16
User_40,Track_381,40
User_90,Track_214,17
User_11,Track_259,14
User_114,Track_127,32
User_68,Track_527,11
User_9,Track_176,15
User_50,Track_454,12
User_45,Track_137,25
User_189,Track_740,6
User_177,Track_577,15
User_98,Track_567,24
User_10,Track_712,5
User_35,Track_348,16
User_14,Track_60,33
User_48,Track_680,8
User_161,Track_265,18
User_97,Track_708,36
User_156,Track_289,12
User_61,Track_297,15
User_124,Track_509,14
User_193,Track_245,7
User_63,Track_474,13
User_55,Track_20,18
User_168,Track_152,3
User_155,Track_204,1
User_180,Track_523,3
User_197,Track_7,33
User_62,Track_714,8
User_146,Track_336,23
User_146,Track_337,28
User_187,Track_407,23
User_3,Track_147,14
User_19,Track_93,21
User_188,Track_632,14
User_11,Track_369,10
User_127,Track_285,22
User_32,Track_108,40
User_182,Track_309,19
User_139,Track_570,22
User_62,Track_462,20
User_144,Track_712,15
User_85,Track_285,11
User_196,Track_645,6
User_64,Track_405,6
User_77,Track_54,8
User_38,Track_625,11
User_159,Track_761,12
User_129,Track_549,18
User_14,Track_558,5
User_26,Track_543,16
User_52,Track_84,5
User_49,Track_104,9
User_171,Track_396,1
User_63,Track_681,24
User_64,Track_605,16
User_71,Track_759,8
User_187,Track_306,9
User_149,Track_625,42
User_137,Track_379,32
User_5,Track_634,10
User_160,Track_482,8
User_175,Track_226,15
User_80,Track_295,10
User_30,Track_240,8
User_154,Track_427,13
User_128,Track_226,25
User_88,Track_746,7
User_92,Track_173,17
User_51,Track_217,24
User_169,Track_297,9
User_145,Track_86,17
User_87,Track_104,4
User_98,Track_523,4
User_13,Track_3,3
User_159,Track_90,22
User_95,Track_50,12
User_177,Track_533,3
User_195,Track_60,15
User_149,Track_734,4
User_122,Track_388,27
User_94,Track_371,15
User_110,Track_303,13
User_46,Track_478,9
User_154,Track_417,1
User_153,Track_71,5
User_91,Track_64,3
User_33,Track_540,8
User_200,Track_349,8
User_143,Track_549,44
User_47,Track_625,9
User_34,Track_151,48
User_138,Track_127,21
User_178,Track_638,12
User_97,Track_254,16
User_50,Track_105,36
User_157,Track_184,42
User_92,Track_740,35
