user_id,liked_song_title
User_70,Phool Ko Maya
User_5,Timro Muskan Ko Suseli
User_186,Chiso Lahara
User_147,Ujyaalo Mann
User_4,Ritu
User_148,Sagar Din
User_197,Jivan Ko Lahar Ko
User_183,Bhulun Bhulun Lagyo Malai
User_32,Dil Ko Maya Ko
User_151,Timro Man Ko Dhoon
User_128,Timro Saath
User_163,Timro Saath Ko
User_163,Ritu
User_161,Chiso Joon
User_63,Pahilo Bhet
User_120,Chiso Hawa Ma
User_119,Timro Pal
User_185,Sundar Swar
User_187,Samjhana Milan
User_198,Chhati Ko Suseli
User_167,Maya Ko Suseli Ko
User_26,Timro Chhaya Ma
User_189,Sapana Ujyaalo
User_94,Chhaya Geet
User_5,Man Magan
User_108,Sundar Andhakar
User_37,Zha Zhal Ko
User_56,Pari Pal
User_161,Timro Lagi Maya
User_160,Timro Hridaya Ko
User_59,Timro Lagi Maya
User_189,Aankha Ko Nani
User_83,Mero Prem Ko Dhoon
User_14,Timilai Samjhera Ko
User_143,Naachideu
User_168,Ujyaalo Raat
User_187,Mero Jivan Ko Maya
User_167,Jhilmil Sapana
User_151,Sagar Ujyaalo
User_184,Saanjha Ko Geet
User_110,Saanjha Ko Suseli Ma
User_117,Jhilmil Chhaya
User_31,Sapana Geet
User_129,Maya Ko Geet
User_174,Timro Man Ko Kotha
User_170,Ritu
User_148,Jivan Ko Phool
User_149,Sundar Raat
User_187,Timro Muskan Ko Geet
User_17,Sundar Swar
User_169,Pahilo Prem Ma
User_19,Andhakar Biraha
User_145,Aankha Ko Dhoon Ko
User_118,Chhaya Raat
User_151,Timro Saath Bina Ko
User_29,Basanta Mann
User_54,Pahilo Maya
User_177,Aankhama Tara
User_86,Chhaya Swar
User_174,Maya Ko Baato Ma
User_186,Sapana Sapana
User_12,Timro Lagi Suseli
User_171,Chhati Ko Suseli
User_98,Haatma Dhoon
User_90,Maya Ko Baato
User_51,Sapana Geet
User_65,Basanta Sapana
User_79,Dherai Sugandha
User_177,Phool Lai Sodhei
User_4,Jivan Ko Kahani
User_124,Aankha Ko Geet
User_7,Timilai Samjhi
User_78,Timro Muskurahat Ko
User_89,Dherai Pal
User_134,Andhakar Mann
User_156,Timro Lagi Geet Ko
User_185,Timilai Samjhanda Ko
User_98,Maya
User_123,Joonko Pal
User_48,Pahadko Swar
User_158,Joonko Geet
User_31,Mantra Sparsha
User_40,Geet Ko Suseli
User_131,Sundar Geet
User_128,Sajhako Pani
User_137,Dil Ko Dhadkan Ko
User_134,Chhati Ko Geet
User_69,Rimjhim Lahara
User_200,Mero Sapana
User_147,Kasari Kasari 2
User_100,Mero Prem Ko Geet
User_22,Man Magan
User_21,Timro Lagi
User_183,Pahilo Prem Ko
User_125,Timro Yaad Le
User_42,Mero Jivan Ko Maya Ko
User_72,Phool Ko Sugandha
User_5,Chhaya Sapana
User_91,Maya Ko Sapna
User_162,Tadha Maya
User_68,Timro Saath Bina
User_184,Timilai Maya Ko
User_42,Timro Lagi Geet
User_42,Timro Maya Ko Suseli
User_69,Pahad Ko Geet
User_13,K Yo Maya Ho
User_90,Samjhana Swar
User_63,Oh Amira
User_61,Haatma Raat
User_62,Mero Prem Ko Geet
User_15,Jhilmil Geet
User_148,Timro Man Ko Kotha
User_6,Pari Muskan
User_199,Bishal Joon
User_36,Geet Ko Lahar
User_50,Sapana Geet
User_176,Aankha Ko Sapna Ko
User_72,Timilai Samjhandai
User_125,Maya Ko Baato
User_43,Jhilmil Geet
User_74,Allare
User_25,Timro Maya Ko
User_20,Simal Jindagi
User_167,Maya Ko Lahar
User_129,Rimjhim
User_43,Pari Andhakar
User_35,Kusume Rumal
User_147,Man Ko Pida Ko
User_49,Haatma Sparsha
User_177,Aankha Ko Maya
User_91,Timro Saath Le
User_101,Phool Ko Rang
User_194,Changaa Chait
User_148,Dherai Raat
User_26,Lajjawati Jhar
User_27,Dil Ko Chhaya
User_75,Ujyaalo Swar
User_124,Timro Lagi Mero Maya
User_188,Ujyaalo Raat
User_89,Jhilmil Dhoon
User_109,Man Ko Dukha Ko
User_19,Ganga Tara
User_10,Timilai Samjhanda Ko
User_124,Tadha Joon
User_117,Mantra Sugandha
User_69,Eklo Bato
User_94,Bishal Milan
User_80,Pahilo Prem
User_3,Aankha Ko Sapna Ko
User_65,Bishal Mann
User_123,Timro Bina
User_130,Pahilo Maya Ko Dhoon
User_28,Tadha Geet
User_77,Tadha Pani
User_114,Timro Sapana
User_168,Mero Man Ko Kura
User_72,Jhilmil Sapana
User_64,Maya Ko Duri Ma
User_85,Saathi
User_47,Sapana Joon
User_156,Maya Ko Lahar Ko
User_56,Dilko Dil
User_185,Naya Andhakar
User_160,Ujyaalo Raat
User_8,Sapana Raat
User_132,Himal Tara
User_35,Timro Saath Bina Ma
User_96,Chhati Ko Geet
User_42,Pahilo Prem
User_157,Desh Ko Maya
User_56,Maya Ujyaalo
User_31,Sapana Raat
User_176,Saanjha Ko Dhoon
User_88,Esto Pani Hundo Raichha
User_41,Dilko Andhakar
User_159,Ujyaalo Sapana
User_108,Chot Ke Ho Byatha Ke Ho
User_138,Jhilmil Lahara
User_196,Sundar Andhakar
User_1,Timilai Samjhanda Ko
User_49,Joonko Raat
User_48,Pahilo Prem
User_9,Saathi
User_28,Sagar Ujyaalo
User_189,Haatma Yaad
User_99,Simal Jindagi
User_1,Jhilmil Swar
User_149,Joonko Geet
User_61,Timro Hridaya
User_174,Bishal Sugandha
User_127,Chhati Chirera
User_43,Aankhama Ujyaalo
User_172,Ganga Rimjhim
User_189,Sapana Mann
User_11,Birami Maya
User_68,Pari Pal
User_37,Jindagi Sapana
User_126,Pari Jindagi
User_49,Samjhana Sugandha
User_148,Dherai Geet
User_47,Rimjhim Tara
